,AP8.1,AP1,AP2,AP3,AP4,AP5,AP8.2,AP9,AP10,AP14,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP18
0,NA.,NA,NA,NA,NA,NA,NA.,NA.,NA.,NA.,NA.,NA.,NA.,NA.,NA.,NA.,NA.,NA.
1,AP8.1,AP2,AP2,AP3,AP4,AP5,AP8.2,AP9,AP10,AP1,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP1
2,AP10,AP1,NA,AP10,NA,AP5,AP10,AP9,AP10,AP1,AP6,AP7,AP13,AP13,AP15,AP9,AP13,AP10
3,AP8.1,AP1,AP17,AP3,AP4,AP5,AP8.2,AP10,AP10,AP1,AP6,"AP1
AP2
AP10
AP1",AP13,AP9,AP15,AP16,AP17,AP4
4,AP10,AP10,AP13,AP10,AP4,AP10,AP8.2,AP10,AP10,AP1,AP6,AP10,AP13,AP13,AP9,AP9,AP2,AP1
5,AP8.2,AP1,AP17,AP3,AP4,AP5,AP8.2,AP10,AP10,AP1,AP6,"AP7, AP10, AP10",AP13,NA.,AP15,AP16,AP17,AP2
6,AP10,AP1,AP2,AP3,AP4,AP5,AP10,NA.,AP13,AP1,AP6,AP15,AP13,AP4,AP15,AP16,NA.,NA.
7,AP8.2,AP1,AP17,AP3,AP4,AP5,AP8.2,AP3,AP10,AP1,AP2,AP4,AP13,AP19,AP15,AP16,AP17,AP4
8,AP10,AP1,AP17,AP17,AP4,AP5,AP8.2,AP10,AP10,AP1,AP6,AP15,AP13,AP19,AP15,AP16,AP13,AP13
9,AP8.2,AP10,AP17,AP9,AP4,AP5,AP8.2,AP9,AP10,AP1,AP6,AP7,AP13,AP19,AP15,AP9,AP17,AP2
10,AP10,AP2,AP17,AP4,NA,AP5,AP8.2,AP9,AP10,AP1,AP6,NA.,AP13,AP19,AP15,AP16,AP17,AP18
11,AP8.2,AP1,AP10,AP10,AP4,AP5,AP8.2,AP1,AP10,AP1,AP6,AP6,AP13,AP19,AP10,AP16,AP10,AP4
12,AP8.1,AP1,AP2,AP3,AP5,AP5,AP10,AP19,AP10,AP1,NA.,AP7,AP13,AP19,AP15,NA.,AP17,AP4
13,AP8.2,AP1,AP17,AP17,AP4,AP5,AP8.2,AP9,AP10,AP1,AP6,AP10,AP13,AP13,AP15,AP16,AP17,AP17
14,AP8.2,AP1,AP17,AP3,AP4,AP5,AP8.2,AP9,AP13,AP1,AP6,AP10,AP13,AP19,AP15,NA.,AP17,AP13
15,AP8.1,AP10,AP10,AP9,AP4,AP5,NA.,AP8.1,AP13,"Sure, please provide the user-provided modification to the BPMN process model, and I will classify it according to the predefined change patterns.",AP6,AP7,AP13,AP19,AP15,NA.,AP17,AP19
