,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP10,AP14,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP18
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,AP2,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP10,AP1,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP4
2,AP1,NA,AP1,AP4,AP5,AP10,AP10,AP9,AP10,AP1,AP6,AP7,AP13,AP13,AP15,AP16,AP13,AP18
3,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP10,AP10,AP1,AP4,AP4,AP10,AP9,AP15,AP16,AP17,AP4
4,AP10,AP10,AP10,AP4,AP10,NA,AP8.2,AP10,AP10,AP1,AP1,AP10,AP13,AP13,AP3,AP9,AP2,AP1
5,AP1,AP2,AP3,AP4,AP5,AP8.2,AP8.2,AP10,AP10,AP1,AP4,AP4,AP13,NA,AP15,AP16,AP17,AP18
6,AP1,AP2,AP3,AP4,AP5,AP10,AP10,NA,AP10,AP1,AP6,AP7,AP13,AP4,AP15,AP16,AP13,AP13
7,AP1,AP17,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP10,AP1,AP4,AP4,AP13,AP19,AP15,AP16,AP17,AP4
8,AP1,AP2,AP3,AP4,AP5,AP10,AP8.2,AP1,AP10,AP1,AP6,AP15,AP13,AP19,AP15,AP16,AP17,AP18
9,AP10,AP17,AP3,AP4,AP10,AP8.1,AP8.2,AP9,AP10,AP1,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP2
10,AP2,AP17,AP4,NA,AP5,AP10,AP8.1,AP9,AP10,AP1,AP6,NA,AP13,AP19,AP15,AP16,AP17,AP4
11,AP1,AP10,AP10,AP4,AP5,AP4,AP8.2,AP10,AP10,AP1,AP6,AP7,AP13,AP4,AP5,AP16,AP10,AP4
12,AP1,AP2,AP3,AP4,AP5,AP8.2,AP8.2,AP9,AP10,AP1,AP6,AP4,AP13,AP19,AP15,AP16,AP17,AP4
13,AP1,AP17,AP2,AP4,AP5,AP8.2,AP8.2,AP9,AP10,AP1,AP6,AP10,AP13,AP19,AP15,AP16,AP17,AP18
14,AP1,AP2,AP3,AP4,AP5,AP4,AP8.2,AP9,AP10,AP1,NA,AP4,AP13,AP19,AP15,AP16,AP17,NA
15,AP10,AP13,AP13,AP4,AP5,NA,AP13,AP8.1,AP13,NA,AP6,AP6,AP13,AP19,AP15,NA,AP17,AP2
16,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP13,AP1,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP17
17,AP1,AP17,AP3,AP4,AP5,AP8.1,AP8.2,AP1,AP10,AP1,AP4,AP4,AP13,AP19,AP10,AP4,AP2,AP4
18,AP1,AP2,AP3,AP4,AP5,AP1,AP10,NA,AP10,AP1,AP4,AP4,AP13,AP19,AP15,AP16,AP17,AP18
19,AP1,AP2,AP3,NA,AP5,AP8.2,AP10,AP9,AP10,AP1,AP6,AP4,AP13,AP19,AP15,AP16,AP17,AP4
20,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.1,AP9,AP10,AP1,AP6,AP4,AP13,AP19,AP15,AP4,AP17,AP4
21,AP1,AP2,AP3,NA,AP5,AP8.1,AP8.2,AP9,AP10,AP1,AP1,AP2,AP13,AP19,AP10,AP16,AP17,AP4
22,AP1,AP17,NA,AP5,AP5,AP8.1,AP8.1,AP9,AP10,AP1,AP6,AP4,AP13,AP19,AP15,AP16,AP17,AP18
23,AP1,AP2,AP3,AP4,AP5,AP10,AP8.2,NA,NA,AP14,AP6,AP7,AP13,AP19,NA,NA,AP17,AP2
24,AP1,AP2,AP3,NA,NA,AP8.1,AP8.2,AP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,AP1,AP17,AP3,NA,AP5,AP8.2,AP8.2,AP9,AP10,AP1,AP6,AP4,AP13,AP19,AP15,AP16,AP17,AP4
26,AP1,AP2,AP3,NA,NA,AP8.1,AP8.2,AP9,AP10,AP1,AP2,AP4,AP13,AP19,AP15,AP16,AP10,AP4
27,AP1,AP2,NA,AP4,NA,AP8.2,AP8.1,AP9,AP10,AP1,NA,AP4,AP13,AP19,AP15,AP16,AP1,AP4
28,AP1,AP2,AP3,NA,AP5,AP8.1,AP8.2,AP9,AP10,AP1,AP6,AP6,AP13,AP19,AP15,AP16,AP17,NA
29,AP1,AP17,AP10,NA,AP5,AP8.1,AP8.2,AP9,AP10,AP1,AP6,AP4,AP13,AP19,AP15,AP16,AP17,AP18
30,AP1,AP2,AP3,AP5,AP5,NA,NA,AP10,NA,AP1,NA,AP4,AP13,AP10,AP15,AP16,AP17,AP18
31,AP1,AP2,AP3,AP4,AP5,AP10,AP8.2,AP9,AP10,AP1,AP6,AP7,AP13,AP19,AP15,AP16,AP10,AP17
32,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP10,AP1,AP4,AP4,AP13,AP19,AP15,AP16,AP17,AP17
33,AP1,AP17,AP2,NA,NA,AP8.2,AP8.2,NA,AP10,AP1,AP6,AP4,AP13,AP19,AP15,AP16,AP17,AP17
34,AP10,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP10,AP10,AP1,NA,AP4,AP13,AP19,AP15,AP16,AP17,AP17
35,AP1,AP2,AP3,AP4,AP5,AP8.2,AP8.2,AP13,AP5,AP14,NA,AP10,AP10,AP9,AP15,AP16,AP17,AP18
36,AP10,AP17,AP3,AP4,AP4,AP10,AP10,AP9,AP10,AP1,AP4,AP4,AP13,AP19,AP19,AP9,AP17,AP17
37,AP1,AP2,AP17,AP4,AP5,AP10,AP8.2,AP18,AP10,AP8.2,AP4,AP4,AP13,AP9,AP3,AP9,AP17,AP2
38,AP1,AP2,AP3,AP4,AP5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,AP1,AP2,AP3,NA,AP5,AP8.2,AP1,AP9,AP8.2,AP1,NA,AP10,AP13,AP4,AP15,AP4,AP17,AP17
40,AP10,AP10,AP10,AP10,AP10,AP10,AP8.2,AP9,AP10,AP1,NA,NA,AP10,AP9,AP4,AP9,AP17,AP17
41,AP1,AP2,AP4,AP4,AP5,AP8.2,AP8.2,AP1,AP1,AP1,AP4,NA,AP13,AP19,AP15,NA,AP17,AP4
42,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP1,AP1,AP4,NA,AP13,AP19,AP15,AP9,AP13,AP4
