,Unnamed: 0,mapping,epap,user,meaning,meaning_status,similarity
0,0,False,False,p,False,False,0.8087860400642255
1,1,True,True,"Merge ""task B"" and ""task E"" into one task called ""task B & E"".","The modification means that the separate tasks ""task B"" and ""task E"" will be combined into a single task named ""task B & E"".",True,1.0
2,2,True,False,combine the task B and E into one,NA.,True,0.8087860400642255
3,3,True,True,"task B and task E should be summarized to task B & E, while remaining on their branch","The modification means that task B and task E, which are currently separate tasks on their branch, should be combined into a single task named ""Task B & E"" while keeping their position on the same branch in the process model.",True,1.0
4,4,True,False,"In the new model, the system executes tasks B and E simultaneously.","The modification means that tasks B and E, which were previously executed sequentially, will now be performed concurrently in the new model.",True,0.7334903808402042
5,5,True,True,Consolidate the two individual modules task B and task E into one combined module of task B and task E.,The modification means that the separate tasks B and E will now be combined into a single task that includes both B and E.,True,0.8636363636363636
6,6,True,True,Join tasks B and E together,,True,0.8636363636363636
7,7,True,True,Merge task B and task E into one single task called 'task B & E'. The rest stays the same.,The modification means that the activities represented by task B and task E will now be combined into a single activity named 'task B & E'.,True,1.0
8,8,True,True,Merge task B and task E into task B&E,The modification means that the separate tasks B and E will be combined into a single new task named B&E.,True,1.0
9,9,True,False,Combine task B and Task E. Task b and e should be done together and not separately so merge those two,"The modification means that Task B and Task E, which were previously executed sequentially, should now be performed in parallel.",True,0.6953278366705928
10,10,True,True,group task b and e into one task called task B & E,"The tasks ""b"" and ""e"" will be combined into a single task named ""Task B & E"".",True,1.0
11,11,True,True,"Instead of task B and task E being separately notated in the flow, group them into one group called task B& E. After task B&E, move forward to X similarly to the previous structure. ","The modification means that the separate tasks B and E will now be combined into a single task named ""B&E"". After completing task ""B&E"", the process will proceed to task X, following the same sequence as before.",True,0.8937277578444173
12,12,False,False,summarize task b and task e into single task b&e,False,False,0.8087860400642255
13,13,True,True,merge tasks B and E into one singel task,The modification means that the separate tasks B and E will be combined into a single task within the process model.,True,0.8636363636363636
14,14,False,False,Please summarize task B and task E in one task task B&E,False,False,0.8087860400642255
15,15,False,False,same as above vice versa ,False,False,0.8087860400642255
16,16,True,True,sum up Task B and E into one task,The modification means that Task B and Task E will be combined into a single task.,True,0.8636363636363636
17,17,True,False,"Remove 'task E' and its edges. Replace  ''task B"" with 'task B & E' . ","The modification means: ""Remove 'task E' and its connecting edges from the process. Replace 'task B' with a new task labeled 'task B & E'.""",True,1.0
18,18,True,False,Jokn task B and task E,,True,1.0
19,19,False,False,please summarize task B and task E into one task named: task B & E,False,False,0.8087860400642255
20,20,True,False,replace sequence of task B and task E by task with label task B & E,"The sequence of Task B and Task E is replaced by a single task labeled ""Task B & E"".",True,1.0
21,21,True,True,please merge task B and task E into one task under the name of task B & E.,"The modification means that the activities represented by task B and task E will be combined into a single activity named ""task B & E"".",True,1.0
22,22,True,True,divide task B & E into one task. ,NA.,True,0.8087860400642255
23,23,False,False,Not sure,False,False,0.8087860400642255
24,24,False,False,.,False,False,0.8087860400642255
25,25,True,True,Abstract task B and E into task B & E. ,"The modification means that the separate tasks B and E will be combined into a single task named ""B & E"".",True,0.8636363636363636
