,ids,similarity
0,0,0.0
1,1,1.0
2,2,1.0
3,3,1.0
4,4,1.0
5,5,0.92
6,6,1.0
7,7,1.0
8,8,1.0
9,9,0.88
10,10,1.0
11,11,1.0
12,12,1.0
13,13,1.0
14,14,1.0
15,15,0.0
16,16,1.0
17,17,0.958656330749354
18,18,1.0
19,19,1.0
20,20,1.0
21,21,1.0
22,22,1.0
23,23,0.8330749354005168
24,24,0.8937277578444173
25,25,1.0
26,26,1.0
27,27,0.92
28,28,0.92
29,29,0.96
30,30,0.88
31,31,0.96
32,32,1.0
33,33,1.0
34,34,0.92
35,35,0.8749354005167959
36,36,0.96
37,37,0.8
38,38,0.8937277578444173
39,39,1.0
40,40,1.0
41,41,1.0
42,42,0.96
43,43,0.8330749354005168
44,44,0.8937277578444173
45,45,1.0
46,46,0.84
47,47,0.96
48,48,0.958656330749354
49,49,1.0
50,50,0.96
51,51,1.0
52,52,1.0
53,53,0.88
54,54,1.0
55,55,1.0
56,56,1.0
57,57,0.958656330749354
58,58,0.958656330749354
59,59,1.0
60,60,0.958656330749354
61,61,0.958656330749354
62,62,1.0
63,63,0.84
