,ids,similarity
0,0,0.0
1,1,1.0
2,2,0.9259259259259259
3,3,0.7171118854045683
4,4,0.6570470028413954
5,5,0.6219251336898396
6,6,0.7794927200699697
7,7,1.0
8,8,0.8211598052235503
9,9,0.9124050599586674
10,10,1.0
11,11,0.6769356153219235
12,12,0.6310706401766004
13,13,1.0
14,14,0.0
15,15,0.0
16,16,0.9091909741331865
17,17,0.9124050599586674
18,18,1.0
19,19,0.9124050599586674
20,20,0.7171118854045683
21,21,0.9455145844799119
22,22,0.799489038303681
23,23,0.7387456912074909
24,24,0.9124050599586674
25,25,0.8243171380227218
26,26,0.8888888888888888
27,27,0.8068488462399137
28,28,0.8888888888888888
29,29,0.722130242825607
30,30,0.8781920903954802
31,31,0.9434737923946557
32,32,1.0
33,33,0.9124050599586674
34,34,0.7623247399366803
35,35,0.7171118854045683
36,36,0.7794927200699697
37,37,0.5857949959644875
38,38,0.7794927200699697
39,39,1.0
40,40,0.6409266409266409
41,41,0.8634034324389654
42,42,0.9024897268552091
43,43,0.7171118854045683
44,44,0.9259259259259259
45,45,0.5763519084339687
46,46,0.7463924963924964
47,47,0.8848039215686274
48,48,0.8772196553857495
49,49,0.7316017316017317
50,50,1.0
51,51,0.8772196553857495
52,52,0.7922779922779922
53,53,0.9124050599586674
54,54,0.7037037037037037
55,55,0.7667325428194993
56,56,0.8888888888888888
57,57,0.9811579307982186
58,58,0.7623247399366803
59,59,0.7465554749818709
60,60,0.6979986623450122
61,61,0.6897707231040565
62,62,0.8971707183079248
63,63,0.7171118854045683
