,ids,similarity
0,0,0.8609867777949273
1,1,0.9233193277310923
2,2,0.7707163295989137
3,3,0.9233193277310923
4,4,0.9233193277310923
5,5,0.948403657949623
6,6,0.88322026232474
7,7,0.7149725022148672
8,8,0.9233193277310923
9,9,0.9233193277310923
10,10,0.9233193277310923
11,11,1.0
12,12,1.0
13,13,0.8084733893557422
14,14,0.9233193277310923
15,15,0.9233193277310923
16,16,0.9233193277310923
17,17,0.7407407407407407
18,18,0.9233193277310923
19,19,1.0
20,20,0.9235187697874265
21,21,0.9233193277310923
22,22,0.9233193277310923
23,23,0.9233193277310923
24,24,0.9629629629629629
25,25,0.8654401154401156
26,26,0.9233193277310923
27,27,1.0
28,28,0.9233193277310923
29,29,0.7407407407407407
30,30,0.9233193277310923
31,31,1.0
32,32,0.9233193277310923
33,33,0.9233193277310923
34,34,0.7407407407407407
35,35,0.9814671814671814
36,36,0.88322026232474
37,37,0.9233193277310923
38,38,0.8609867777949273
39,39,1.0
40,40,0.7795140561777066
41,41,1.0
42,42,0.9233193277310923
43,43,0.8679536679536679
44,44,1.0
45,45,0.9629629629629629
46,46,0.7862106740611413
47,47,0.9618347338935573
48,48,0.9233193277310923
49,49,0.9233193277310923
50,50,0.9233193277310923
51,51,0.9233193277310923
52,52,0.9057915057915057
53,53,0.7636294882082216
54,54,1.0
55,55,0.8164458695468736
56,56,0.9057915057915057
57,57,0.9233193277310923
58,58,0.88322026232474
59,59,0.9818381948266374
60,60,0.9233193277310923
61,61,0.6875750610127328
62,62,0.9233193277310923
63,63,0.9233193277310923
