,mapping,epap,user,meaning
0,False,False,l,False
1,True,True,"Split ""task B & E"" into two subsequent activities which are called ""task B"" and ""task E"". Task B should be the first one, task E the second one.","The process fragment ""task B & E"" is split into two separate activities: ""task B"" followed by ""task E""."
2,True,True,divide the combined task B & E into two separate ones,The combined task B & E is divided into two separate tasks: task B and task E.
3,True,True,"task B & E should be split into task B and task E, while remaining on their branch
task B should be executed before task E","Task B and task E should be split into two separate tasks, with task B being executed before task E, while both tasks remain on their original branch."
4,False,False,"In the new model, the system executes tasks B, E in sequence.",False
5,True,True,Separate the combined module of task B and task E into two individual modules task B and task E. ,The combined module of task B and task E will be split into two individual modules: one containing task B and the other containing task E.
6,True,True,Separate task B&E into task B and task E,Separate task B&E into task B and task E.
7,True,True,Split the task 'task B & E' into two single tasks 'task B' immediately followed by 'task E'. The rest of the process model should not be changed.,The task 'task B & E' is split into two separate tasks: 'task B' immediately followed by 'task E'.
8,True,True,split task B&E into task B and task E,Split the existing combined task B&E into two separate tasks: task B and task E.
9,True,True,Split Task B&E into two separate tasks Task B and Task E. Task B should be done first and then Task E should be done.,"Task B should be done first, followed by Task E."
10,True,True,split task b & e into two separate tasks called task b and task e where task b comes first,"Split the existing process fragment containing task b and task e into two separate tasks, with task b occurring before task e."
11,True,False,"Instead of task B & E notation following X being true, clearly indicate that task B follows task E, and they are separate tasks.","Task B follows task E, and they are separate tasks."
12,True,True,deconstruct task b&e to individual tasks task b and task e,"Split the combined task ""b&e"" into two separate tasks: ""task b"" and ""task e""."
13,True,True,"separate the task ""B&E"" into two subsequent distinct tasks","The task ""B&E"" will be split into two subsequent distinct tasks."
14,True,True,Please separate task B and task E in two separate tasks. Execute E after B.,"Task B and task E will be separated into two distinct tasks, with task E executed immediately after task B."
15,True,True,taskB&E got separated in separate tasks,Task B and Task E have been separated into individual tasks.
16,True,True,uncombine task B&E; Execute them each at a time,"Task B and Task E, which were previously combined, will now be executed separately, one after the other."
