,mapping,epap,user,meaning
0,False,False,c,False
1,True,True,move task C from its current position to after the closing XOR,Move task C to after the closing XOR gateway.
2,True,False,forward false without any tasks and add task C before task D,Insert task C before task D.
3,True,True,move task C so that it always has to be executed before task D,Move task C so that it always has to be executed before task D.
4,True,False,"In the new model, if task A is false, task B should be skipped, continuing with task C and D.","Embed task B in a conditional branch so that if task A is false, task B is skipped, and the process continues with task C and D."
5,True,True,"Please remove task C from the first if-else block and put it right after the second if-else block, before task D. ","Move task C from the first if-else block to right after the second if-else block, before task D."
6,True,True,Move task C between second multiplication and task D,Move task C to a position between the second multiplication and task D.
7,True,True,"Remove task C from the false-path of the or-gate and place it after the closing or-gate. The resulting false-path of the or-gate directly points to the closing or-gate, while the true-path, including task B, is not changed. After the closing or-gate task C follows.",Move task C from the false-path of the or-gate to after the closing or-gate.
8,True,True,remove task c keep and rejoin the false branch insert task C after the join clause before task D,Remove task C from the false branch and insert task C after the join clause before task D.
9,True,True,"Move task C to be done in both cases if status after task a is true or false, it should Stil be done before task D. ","Embed task C in a conditional branch to be executed regardless of the status after task A, ensuring it is done before task D."
10,True,False,Replace task c between the gateway and task D while connecting the gateways in case of false,Replace task C with a new task between the gateway and task D while connecting the gateways in case of false.
11,True,False,"instead of task C, add a condition where if false, continue to the second X and move task c after the second X and before task D","Add a condition after task C where if false, continue to the second X and move task C after the second X and before task D."
12,True,True,change task c position to be before task d,Move task C to be before task D.
13,True,False,remove task C out of the optional path on the main path ,NA
14,True,True,"Please move task C directly before task D, but leave the false connection.",Move task C directly before task D.
15,True,False,taskC now gets executed no matter if taskA returns true or false ,Embed taskC in a conditional branch.
16,True,False,Task C should not be in the false OR Gateway path but after the OR Gateway and before task D,Move Task C from the false OR Gateway path to the position after the OR Gateway and before Task D.
