,mapping,epap,user,meaning
0,False,False,f,False
1,True,True,Add a loop after the closing XOR gateway. The loop is exited if a condition is true and a further iteration is performed if a condition is false. Then include task D in the loop so that it can be executed between 0 and n times.,Add a loop after the closing XOR gateway. The loop is exited if a condition is true and a further iteration is performed if a condition is false. Task D is included in the loop so that it can be executed between 0 and n times.
2,True,False,"Add an node, which directs only false values to task D and true to the end","A decision node is added, directing false values to task D and true values to the end event."
3,True,True,task D should be in a loop where it is optional to be executed,Task D will be placed in a loop where it can be executed zero or more times.
4,True,False,"In the new model, if task B or C is false, task D should be done. Afterwards task D will be checked, if task D is false, task D will be repeated again.","If task B or C is false, task D should be done. Afterwards, if task D is false, task D will be repeated again."
5,True,False,"Please add two if-else-blocks, one before task D and one after task D that form a loop which, when turned true exists and while false feeds back the input to task D. ","Embed a loop around task D with two conditional checks: one before task D and one after task D. If the condition before task D is true, proceed to task D; if false, exit the loop. After task D, if the condition is true, exit the loop; if false, repeat the loop and feed the input back to task D."
6,True,False,Do task D only when condition is false,Do task D only if the condition is false.
7,True,False,"Relocate task D and insert two or-gates, a opening one and a closing one. After the already existing closing or-gate I want you to insert the following structure: First, add the closing or-gate followed by the opening one. If the condition corresponding to the opening or-gate is true, continue with the end of the process. If the condition is false, I want task D to be performed and the process to 'jump' back to the freshly added closing or-gate. In the resulting process model, task D only occurs in this certain 'back-jump' loop. ","Task D is relocated to be performed within a loop that repeats between 1 and N times, controlled by two or-gates. If the condition of the opening or-gate is false, task D is executed and the process jumps back to the closing or-gate, otherwise, the process continues to the end."
8,True,True,add a branched loop encapsuling task D when false and continue when true,"Embed a loop around task D that repeats between 0 and N times, executing task D when the condition is false and continuing the process when the condition is true."
9,True,True,"Add a loop for task D. check first if the status is true, if so nothing needs to be done if it is false, task D needs to be done and then check again for the status. ","Embed a loop for task D, where the status is checked first. If the status is true, no action is needed. If the status is false, task D is executed, and the status is checked again."
10,True,False,implement a second gateway before task d which only does task d if the gateway decision is false.,"A second gateway is added before task d, and task d is executed only if the gateway decision is false."
11,True,False,"instead of task D, add an extra step where two more X's following each other. if the condition statement after the second X is true, then reach the output, if false, add task D and return to the first X after task D.","Add two sequential tasks labeled X after the point where task D was originally located. Introduce a conditional statement after the second X. If the condition is true, proceed to the output. If the condition is false, add task D and loop back to the first X after completing task D."
12,True,True,"add an xor gate before and after task d, only execute task d if the result of the gate after task d is false and return to the xor gate before task d","Embed task d in a loop that repeats between 0 and N times, executing task d only if the condition after task d is false."
13,True,False,"change the process and add an additional gateway after task D with a loop, process is completed if some condition true otherwise  task D is performed and loop entered again",Task D is performed repeatedly in a loop until a specified condition is met.
14,True,True,Please remove task D and add a loop directly after the end of the current one which leads to task D in the false case and to the termination node in the true case.,NA
15,False,False,a kind of loop is introduced,False
16,True,True,Not in every procedure Task D should be executed. And task D can also be executed several times,"Task D should be executed within a loop, allowing it to be repeated between 0 and N times."
17,True,True,"After 'OR join', add a loop around 'task D', so that 'task D' can be executed more than once or zero times, using the 'OR' operator.  If condition in OR split is  'true' process should end, otherwise 'task D' should be executed.","Embed a loop around 'task D' after the 'OR join', allowing 'task D' to be executed zero or more times. If the condition in the OR split is 'true', the process should end; otherwise, 'task D' should be executed."
18,True,False,Introduce a choice node before the final state which goes to final with true and to task D with false. Task D should only be accessible using the false path,"A decision point is introduced before the final state. If the condition is true, the process proceeds to the final state. If the condition is false, the process proceeds to Task D, which is only accessible through the false path."
19,True,False,Please insert a xor gateway after task D. if the condition evaluates to false move to task D if it evaluates to true move to end. insert a closing xor after task d. the closing xor is connected to the opening xor,"Insert an XOR gateway after task D. If the condition evaluates to false, move to task D. If it evaluates to true, move to the end. Insert a closing XOR gateway after task D. The closing XOR gateway is connected to the opening XOR gateway."
20,True,True,embed task D into loop ,Embed task D into a loop to allow for its repeated execution between 0 and N times.
21,True,True,"please put task D in a self loop after the previous exclusive choice where the minimum occurrence of task D is 0, if false, execute the loop otherwise it reaches the end of the process.","Task D is placed in a self-loop after the previous exclusive choice, allowing for repeated execution between 0 and N times. If the condition is false, the loop executes; otherwise, the process reaches the end."
22,True,True,Add a loop in front of the sink target where task D is only executed if the condition is false. ,"Task D will be executed repeatedly between 0 and N times, but only if the specified condition is false."
23,True,False,Adding an xor that executea task d when false,"A new XOR gateway is added to the process, and if the condition evaluates to false, Task D is executed."
24,True,True,"add a loop surrounding task D using a gate. In the false branch of the gate, the task D should be triggered, else the process should stop","Task D will be repeatedly executed between 0 and N times based on the condition evaluated by the gate. If the condition is false, task D is triggered; otherwise, the process stops."
25,True,False,"If a condition is true, skip task D and execute task D, if the condition is false repeatedly until the condition is true. ","If a condition is true, skip task D and proceed. If the condition is false, execute task D repeatedly until the condition becomes true."
26,True,False,"Directly before task D, add an exclusive gateway. If the condition evaluates to false, task D should be executed, and the condition must be evaluated again afterward. If the condition evaluates to true, the process ends. Do not make any other changes.","Directly before task D, an exclusive gateway is added. If the condition evaluates to false, task D is executed, and the condition is evaluated again afterward. If the condition evaluates to true, the process ends."
27,True,False,wrap task D inside a do-while loop,Task D will be executed repeatedly between 1 and N times.
28,True,True,Create a Loop around task D. It should be possible to not execute task D at all,Task D can be executed repeatedly between 0 and N times.
29,True,False,Add two additional OR-Gateways to create a conditional split before task D - the flow should be: OR-Gateway3 --> OR-Gateway4 (if true --> END; if false --> task D) --> OR-Gateway3.,"A conditional branch is created before task D, where an OR-Gateway3 splits the flow. If the condition is true, the flow goes to OR-Gateway4 and then ends. If the condition is false, the flow continues to task D and then returns to OR-Gateway3."
30,False,False,I don't know how to describe this,False
31,True,False,Insert to exclusive gateways before task D. The second inserted gateway should be connected to task B and the termination event. Task D should be connected to the first inserted gateway. ,"Insert two exclusive gateways before task D. The first inserted gateway should be connected to task D. The second inserted gateway should be connected to the first inserted gateway, task B, and the termination event."
32,True,True,"Replace task D with a conditional loop, where the false branch contains task D and the true branch ends the process. It must be possible for task D to not be executed.","Replace task D with a conditional loop, where the false branch contains task D and the true branch ends the process. Task D may not be executed."
33,True,True,Create a Loop before Task d which loops Task d If a condition ist Not met and repeats Task d until this condition ist met. ,Embed a loop before Task d that repeats Task d until a specified condition is met.
34,True,False,"Add task D into a condition/OR loop. If the condition is false, then execute task D. If the condition is true, then end the process model.  Task D only gets executed if the condition is false.","Embed task D in a conditional branch where task D is executed if the condition is false; if the condition is true, the process ends."
35,True,False,"add a loop for task d at the end that only terminates, if b,c or d are true ","Embed a loop for task d at the end of the process that only terminates if conditions b, c, or d are true."
36,True,False,"Before final execution another condition is added to execute D only if false, if true the end is reached.","Before the final execution, a condition is added such that if the condition is false, activity D is executed; if the condition is true, the process ends."
37,True,False,"Add a new conditional logic based on the output of task b and c, if false loop over task d until true ","Add a new conditional logic based on the output of tasks b and c. If the condition is false, loop over task d until the condition becomes true."
38,False,False,I don't know. ,False
39,True,False,I need you to implement a new loop directly in front of the endpoint put a XOR that goes to the endpoint if true and otherwise goes to task d and the previous XOR. Also the two XOR are by default connected. Task d is only triggered when false,"A new loop is implemented directly in front of the endpoint, with a XOR gateway that routes to the endpoint if the condition is true, and otherwise routes to task d and the previous XOR gateway. Task d is only triggered when the condition is false."
40,True,False,"Two more checks are added after the second X, which leads to a conditional execution of task D (only if the last X results to be false).","Two additional checks are added after the second X, leading to the conditional execution of task D only if the last check results in false."
41,True,True,"after the the two paths merge together into task d, i would like you to add another gate which goes into another gate. For the second gate if it is true we end the process, if it is false it results in task d which then goes back into the first gate after the merge.","A loop is added after task d, where a gateway checks a condition. If true, the process ends; if false, it returns to task d and repeats."
42,True,True,"Please add a new exclusive gateway before task D. If true, the process should lead to completion, if false, it should execute task D and loop back. ","A new exclusive gateway is added before task D. If the condition is true, the process leads to completion; if false, it executes task D and loops back."
43,True,False,Add task D not as progession but as an optional if when if is false,Add task D as an optional task that is executed only if a certain condition is false.
44,True,False,Add another exclusive gateway following our second gateway. Connect this third exclusive gateway to another exclusive gateway. the fourth exclusive gateways false condition includes task D and is therefor connected back to our third exclusive gateway while our true condition is connected to the end node. ,NA
45,True,False,Please add two selections before and after the take D. Task D will only be triggered only be triggered when last step was false,"Task D will only be triggered when the last step was false, with two selections added before and after Task D."
46,True,True,"Add one more adjustment, while the condition is not met please do the Task D",Embed Task D in a loop to be executed repeatedly until the condition is met.
47,True,True,Replace task D by while-looping task D as long as a conditon is false,Task D will be repeatedly executed as long as a specified condition remains false.
48,True,False,"Before Task d, add a conditional Split. If true then end, If false then Task d and Loop back to the conditional Split.","A conditional split is added before Task d. If the condition is true, the process ends. If the condition is false, Task d is executed, and then the process loops back to the conditional split."
