,mapping,epap,user,meaning
0,False,False,a,False
1,True,False,delete task E from the model,"Remove task E.
"
2,True,True,"after task C in the false bracket, append task E","Add task E after task C on the false branch of the gateway.
"
3,True,True,create task E and make it follow task C only,"Insert a new task named ""E"" after task ""C"".
"
4,True,False,"In the new model, if task A is false, 2 tasks should be done: task C and task E.","If task A is false, then execute task C and task E.
"
5,True,True,"Please add another task (task E) in the ""false""-branch directly after task C. ","Add task E after task C on the false branch.
"
6,True,True,Add task E to the model after task C,"Insert task E after task C.
"
7,True,True,"Insert a task E immediately after task C. After that the closing or-gate should follow. The other path of the or-gate, including task B, should not be changed.","Add a new task E between task C and the merging OR gateway. Task B remains unchanged as a separate branch leading to the same OR gateway.
"
8,True,True,Add a task E following task C before the join clause,"Insert a new task ""E"" between task ""C"" and the subsequent gateway.
"
9,True,False,"Add a task E after task C. The reason is that if after task a the status is false we need to do task c first and then immediately afterwards task E, task E is not needed if after task A the status is true.","Insert a task ""E"" after task ""C"" on the branch where the status after task ""A"" is false.
"
10,True,False,Remove task E,"Delete task E.
"
11,True,True,please add one more step after task c and before arriving into X,"NA
"
12,True,True,Add task E after task C,"Insert task E between task C and the activity that follows task C.
"
13,True,True,append a task E following task C ,"Insert a new task named ""E"" after task ""C"".
"
14,True,True,Please add task E directly after task C,"Insert task E between task C and the activity that follows task C.
"
15,True,False,Task E was added for the case taskQ evaluated to false ,"Add a new task named ""E"" after task ""taskQ"" on the ""false"" path.
"
16,False,False,"Aditionally, the new model should have a task E after task C in the flase OR Gateway path",False
17,True,True,"In the 'OR split' after 'task A', insert a transition 'task E' after 'task C' and its corresponding edges.","Insert a new activity 'Task E' between activity 'Task C' and the converging OR gateway that follows 'Task C'. Connect 'Task C' to 'Task E' with a sequence flow and 'Task E' to the converging gateway with another sequence flow.
"
18,True,True,Add task E directly after task C,"Insert task E between task C and the activity that follows task C.
"
19,True,True,Please insert a task E between task C and the closing XOR ,"Add a new task named ""E"" between task ""C"" and the exclusive gateway that follows it.
"
20,True,True,insert task E after task C and before XOR gateway (join),"Add task E between task C and the XOR gateway that follows task C.
"
21,True,True,please insert an additional task E immediately after task C.,"Insert task E after task C.
"
22,True,True,Please add task E behind Task C before going into the XOR,"Insert task E between task C and the exclusive gateway.
"
23,True,True,Adding a task,"NA
"
24,True,True,Please add another Task E directly following the Task C in the False Branch of the Gate. ,"Add a new task named ""Task E"" after ""Task C"" in the branch where the gateway condition evaluates to false.
"
25,True,True,Add task E directly after task C before the XOR join. ,"Insert task E between task C and the XOR gateway.
"
