,mapping,epap,user,meaning
0,False,False,y,False
1,True,True,Change the conditions of the XOR branches. The branch with task B should have the condition a>10 and the branch with task C should have the condition a<=10.,"The conditions on the outgoing sequence flows of the exclusive gateway are updated. The sequence flow leading to the path containing task B will now have the condition 'a > 10', and the sequence flow leading to the path containing task C will now have the condition 'a <= 10'."
2,True,True,change the true to a bigger than 10 and false smaller or equal to 10,NA
3,True,False,"task B should be executed if a > 10, else task C","The process is modified to include an exclusive decision point. If the condition 'a > 10' is true, then 'task B' is executed. Otherwise, 'task C' is executed."
4,True,True,"In the new model, the condition true and false should be changed as a > 10 and a <= 10.",The condition for the sequence flow previously labeled 'true' is updated to 'a > 10'. The condition for the sequence flow previously labeled 'false' is updated to 'a <= 10'.
5,True,True,"Task A outputs not an integer variable ""a"" instead of a boolean value. If a > 10 the condition should turn true an otherwise (a <= 10) false. ",NA
6,True,True,Replace true with a>10 and false with a<=10,NA
7,True,True,Please replace the conditions of the opening or-gate. Instead of the label 'true' that path should be used if variable a is greater than the value 10. Instead of the label 'false' the other path should be used if the variable a is smaller than or equal to the value 10. The rest should stay the same.,The conditions on the outgoing sequence flows of the designated diverging Exclusive Gateway are updated. The sequence flow previously associated with the condition 'true' will now have the condition `a > 10`. The sequence flow previously associated with the condition 'false' will now have the condition `a <= 10`.
8,True,True,Replace or condition at true with a>10 at false with a<=10,NA
9,True,True,Change condition from True and false to a>10 instead of true and a<=10 instead of false everything else keeps the same.,NA
10,True,True,change the gateway decision based on task a from true to a>10 and false to a<=10,"The decision logic of an exclusive gateway, which was previously based on a binary true/false outcome related to task 'a', is updated. The sequence flow previously conditioned on 'true' will now be taken if the value of 'a' is greater than 10. The sequence flow previously conditioned on 'false' will now be taken if the value of 'a' is less than or equal to 10."
11,True,True,"Instead of the condition notation within X being true or false and making the control implicitly, explicitly check the condition. The condition is if variable a is ""more than 10"" or ""equal or less than 10"". If a is more than, then move to task B. If a is equal to or less than 10, then move to task C.","The conditions on the outgoing sequence flows from the splitting gateway are updated. One sequence flow will now have the condition ""a > 10"" and lead to Task B. The other sequence flow will now have the condition ""a <= 10"" and lead to Task C."
12,True,True,change first xor gate's conditions to be a>10 for true and a<=10 for false,"The conditions for the outgoing sequence flows of the first exclusive gateway are updated: the 'true' path is taken when 'a > 10', and the 'false' path is taken when 'a <= 10'."
