,ids,similarity
0,0,0.9090909090909091
1,1,1.0
2,2,1.0
3,3,1.0
4,4,0.9090909090909091
5,5,1.0
6,6,1.0
7,7,1.0
8,8,1.0
9,9,1.0
10,10,0.8783237381175525
11,11,1.0
12,12,1.0
13,13,1.0
14,14,0.0
15,15,0.9090909090909091
16,16,1.0
17,17,0.9778256852479212
18,18,0.9068376068376068
19,19,1.0
20,20,1.0
21,21,0.9090909090909091
22,22,1.0
23,23,1.0
24,24,0.9768115942028985
25,25,1.0
26,26,1.0
27,27,1.0
28,28,1.0
29,29,0.0
30,30,1.0
31,31,1.0
32,32,1.0
33,33,0.8783237381175525
34,34,1.0
35,35,1.0
36,36,1.0
37,37,0.7794927200699697
38,38,1.0
39,39,0.9090909090909091
40,40,0.9017338066574061
41,41,0.8223809523809524
42,42,1.0
43,43,0.9090909090909091
44,44,1.0
45,45,1.0
46,46,0.9090909090909091
47,47,1.0
48,48,1.0
49,49,0.9136528685548293
50,50,1.0
51,51,1.0
52,52,1.0
53,53,0.8181818181818182
54,54,1.0
55,55,1.0
56,56,1.0
57,57,1.0
58,58,1.0
59,59,1.0
60,60,1.0
61,61,0.9136528685548293
62,62,1.0
63,63,0.8937277578444173
