,ids,similarity
0,0,0.9017338066574061
1,1,1.0
2,2,1.0
3,3,0.9618347338935573
4,4,0.88322026232474
5,5,1.0
6,6,0.9618347338935573
7,7,0.7407407407407407
8,8,0.7407407407407407
9,9,0.0
10,10,1.0
11,11,1.0
12,12,1.0
13,13,0.9233193277310923
14,14,0.9233193277310923
15,15,0.9017338066574061
16,16,0.7622778459884293
17,17,0.7407407407407407
18,18,0.9618347338935573
19,19,1.0
20,20,1.0
21,21,0.9233193277310923
22,22,0.9233193277310923
23,23,0.9017338066574061
24,24,0.9017338066574061
25,25,0.9233193277310923
26,26,0.9233193277310923
27,27,0.9618347338935573
28,28,0.9618347338935573
29,29,0.7407407407407407
30,30,0.9017338066574061
31,31,1.0
32,32,0.9618347338935573
33,33,1.0
34,34,0.9233193277310923
35,35,0.7268211920529801
36,36,1.0
37,37,0.7431561169878926
38,38,0.9017338066574061
39,39,1.0
40,40,0.9618347338935573
41,41,1.0
42,42,0.9233193277310923
43,43,0.9618347338935573
44,44,1.0
45,45,0.872702286415244
46,46,0.8096076434356662
47,47,1.0
48,48,1.0
49,49,0.9644417698878357
50,50,0.9618347338935573
51,51,0.9618347338935573
52,52,0.8888888888888888
53,53,0.5185185185185185
54,54,1.0
55,55,0.9618347338935573
56,56,0.9618347338935573
57,57,0.9618347338935573
58,58,0.6337368845843422
59,59,0.7495331465919702
60,60,0.8315914406395085
61,61,0.9233193277310923
62,62,0.9259259259259259
63,63,0.9235187697874265
