,ids,similarity
0,0,0.8609867777949273
1,1,0.9618347338935573
2,2,0.0
3,3,0.9233193277310923
4,4,0.9455145844799119
5,5,0.9644417698878357
6,6,0.8609867777949273
7,7,0.7407407407407407
8,8,0.9233193277310923
9,9,0.9618347338935573
10,10,1.0
11,11,1.0
12,12,1.0
13,13,0.9233193277310923
14,14,0.9618347338935573
15,15,0.9233193277310923
16,16,0.9618347338935573
17,17,0.7699579831932772
18,18,1.0
19,19,0.9629629629629629
20,20,0.9233193277310923
21,21,0.9475731853302863
22,22,0.8360956623594625
23,23,1.0
24,24,0.9618347338935573
25,25,0.9618347338935573
26,26,0.9618347338935573
27,27,0.9233193277310923
28,28,0.9475731853302863
29,29,0.6780825977434856
30,30,0.8609867777949273
31,31,0.0
32,32,0.9618347338935573
33,33,0.9233193277310923
34,34,0.9233193277310923
35,35,0.9233193277310923
36,36,0.9233193277310923
37,37,0.9629629629629629
38,38,0.8609867777949273
39,39,0.9618347338935573
40,40,0.9475731853302863
41,41,0.9629629629629629
42,42,0.0
43,43,0.9618347338935573
44,44,1.0
45,45,1.0
46,46,0.8292652311343901
47,47,0.9618347338935573
48,48,0.9618347338935573
49,49,0.8399267399267399
50,50,1.0
51,51,0.9233193277310923
52,52,0.9618347338935573
53,53,0.9618347338935573
54,54,1.0
55,55,1.0
56,56,1.0
57,57,0.9618347338935573
58,58,1.0
59,59,1.0
60,60,1.0
61,61,0.8320944638017809
62,62,0.9618347338935573
63,63,0.9618347338935573
